Country.Region,Province.State,Population,Density,Source,Level
Afghanistan,None,37172386,56.937760009803,World Bank,Country.Region
Albania,None,2866376,104.612262773723,World Bank,Country.Region
Algeria,None,42228429,17.7300750711665,World Bank,Country.Region
American Samoa,None,55465,277.325,World Bank,Country.Region
Andorra,None,77006,163.842553191489,World Bank,Country.Region
Angola,None,30809762,24.7130520574316,World Bank,Country.Region
Antigua and Barbuda,None,96286,218.831818181818,World Bank,Country.Region
Arab World,None,419790588,37.3723653654038,World Bank,Country.Region
Argentina,None,44494502,16.2585100979651,World Bank,Country.Region
Armenia,None,2951776,103.680224798033,World Bank,Country.Region
Aruba,None,105845,588.027777777778,World Bank,Country.Region
Australia,None,24992369,3.24912948744283,World Bank,Country.Region
Austria,None,8847037,107.206926667578,World Bank,Country.Region
Azerbaijan,None,9942334,120.265319946776,World Bank,Country.Region
"Bahamas, The",None,385640,38.5254745254745,World Bank,Country.Region
Bahrain,None,1569439,2017.27369979138,World Bank,Country.Region
Bangladesh,None,161356039,1239.57931166936,World Bank,Country.Region
Barbados,None,286641,666.606976744186,World Bank,Country.Region
Belarus,None,9485386,46.7287999040892,World Bank,Country.Region
Belgium,None,11422068,377.214927344782,World Bank,Country.Region
Belize,None,383071,16.7939938623411,World Bank,Country.Region
Benin,None,11485048,101.853919829727,World Bank,Country.Region
Bermuda,None,63968,1184.59257167194,World Bank,Country.Region
Bhutan,None,754394,19.7775277714448,World Bank,Country.Region
Bolivia,None,11353142,10.4801458506416,World Bank,Country.Region
Bosnia and Herzegovina,None,3323929,64.92048828125,World Bank,Country.Region
Botswana,None,2254126,3.97742487604327,World Bank,Country.Region
Brazil,None,209469333,25.0617162430876,World Bank,Country.Region
British Virgin Islands,None,29802,198.68,World Bank,Country.Region
Brunei Darussalam,None,428962,81.3969639468691,World Bank,Country.Region
Brunei,None,428962,#N/A,World Bank,Country.Region
Bulgaria,None,7024216,64.7035372144436,World Bank,Country.Region
Burkina Faso,None,19751535,72.1912828947368,World Bank,Country.Region
Burundi,None,11175378,435.178271028037,World Bank,Country.Region
Cabo Verde,None,543767,134.929776674938,World Bank,Country.Region
Cambodia,None,16249798,92.0564128710628,World Bank,Country.Region
Cameroon,None,25216237,53.3439889149796,World Bank,Country.Region
Canada,None,37058856,4.07530821431988,World Bank,Country.Region
Caribbean small states,None,7358965,18.1770161788317,World Bank,Country.Region
Cayman Islands,None,64174,267.391666666667,World Bank,Country.Region
Central African Republic,None,4666377,7.49041221227006,World Bank,Country.Region
Central Europe and the Baltics,None,102511922,92.7664366303472,World Bank,Country.Region
Chad,None,15477751,12.2917336404066,World Bank,Country.Region
Channel Islands,None,170499,861.106093786457,World Bank,Country.Region
Chile,None,18729160,25.1894460666519,World Bank,Country.Region
China,None,1392730000,148.348833270666,World Bank,Country.Region
Colombia,None,49648685,44.7487021180712,World Bank,Country.Region
Comoros,None,832322,447.244477540227,World Bank,Country.Region
"Congo, Dem. Rep.",None,84068091,37.0825923557045,World Bank,Country.Region
"Congo, Rep.",None,5244363,15.3568462664715,World Bank,Country.Region
Congo (Kinshasa),None,11860000,#N/A,Google,Country.Region
Costa Rica,None,4999441,97.9130630630631,World Bank,Country.Region
Cote d'Ivoire,None,25069229,78.8340534591195,World Bank,Country.Region
Croatia,None,4089400,73.0771979985704,World Bank,Country.Region
Cuba,None,11338138,108.999596231494,World Bank,Country.Region
